Measure Names,Month of Date,REGION,Measure Values
Avg. LP/CLP,August 2025,BLR,0.988457210
Delisted,August 2025,BLR,756
c2b bought,August 2025,BLR,172
Offer Initiated,August 2025,BLR,"31,499"
Unique Buyer,August 2025,BLR,"13,532"
Offer/Listings,August 2025,BLR,33.545260916
Counter,August 2025,BLR,"1,623"
Accepted,August 2025,BLR,"11,496"
% accepted/Offer,August 2025,BLR,0.364963967
Rejected,August 2025,BLR,427
Revision,August 2025,BLR,94
TD completed,August 2025,BLR,4
% TD/Accepted,August 2025,BLR,0.000347947
TD/Listing,August 2025,BLR,0.004259851
Sold,August 2025,BLR,36
Total Revenue,August 2025,BLR,"18,48,657"
Listing Revenue,August 2025,BLR,"15,00,016"
Vas revenue (chr+chat+spp+agreement),August 2025,BLR,"3,48,641"
Avg Lising fee,August 2025,BLR,"1,564.145985401"
Listing Revenue/day,August 2025,BLR,"48,387.612903226"
Inspection,September 2025,BLR,"8,394"
Avg. Avg Insp TP,September 2025,BLR,"6,07,400.610316893"
workable leads,September 2025,BLR,"6,893"
Total_Listing,September 2025,BLR,"1,086"
Avg. Avg. Listing TP,September 2025,BLR,"5,79,084.122693727"
Listing went live,September 2025,BLR,"1,076"
Listing Conversion,September 2025,BLR,0.128186800
Avg. LP/TP,September 2025,BLR,1.144813085
Avg. FLP/TP (check from 8th Nov),September 2025,BLR,1.170668477
Avg. LP/CLP,September 2025,BLR,0.982532050
Delisted,September 2025,BLR,486
c2b bought,September 2025,BLR,183
Offer Initiated,September 2025,BLR,"23,846"
Unique Buyer,September 2025,BLR,"10,729"
Offer/Listings,September 2025,BLR,22.161710037
Counter,September 2025,BLR,"1,528"
Accepted,September 2025,BLR,"9,180"
% accepted/Offer,September 2025,BLR,0.384970226
Rejected,September 2025,BLR,352
Revision,September 2025,BLR,84
TD completed,September 2025,BLR,96
% TD/Accepted,September 2025,BLR,0.010457516
TD/Listing,September 2025,BLR,0.089219331
Sold,September 2025,BLR,47
Total Revenue,September 2025,BLR,"20,71,398"
Listing Revenue,September 2025,BLR,"17,96,432"
Vas revenue (chr+chat+spp+agreement),September 2025,BLR,"2,74,966"
Avg Lising fee,September 2025,BLR,"1,654.173112339"
Listing Revenue/day,September 2025,BLR,"59,881.066666667"
Inspection,October 2025,BLR,"8,685"
Avg. Avg Insp TP,October 2025,BLR,"5,28,839.868278641"
workable leads,October 2025,BLR,"7,125"
Total_Listing,October 2025,BLR,"1,068"
Avg. Avg. Listing TP,October 2025,BLR,"5,19,571.082629108"
Listing went live,October 2025,BLR,"1,052"
Listing Conversion,October 2025,BLR,0.121128382
Avg. LP/TP,October 2025,BLR,1.165674821
Avg. FLP/TP (check from 8th Nov),October 2025,BLR,1.188164148
Avg. LP/CLP,October 2025,BLR,0.969692640
Delisted,October 2025,BLR,890
c2b bought,October 2025,BLR,183
Offer Initiated,October 2025,BLR,"30,330"
Unique Buyer,October 2025,BLR,"12,975"
Offer/Listings,October 2025,BLR,28.830798479
Counter,October 2025,BLR,"1,813"
Accepted,October 2025,BLR,"11,421"
% accepted/Offer,October 2025,BLR,0.376557864
Rejected,October 2025,BLR,585
Revision,October 2025,BLR,151
TD completed,October 2025,BLR,36
% TD/Accepted,October 2025,BLR,0.003152088
TD/Listing,October 2025,BLR,0.034220532
Sold,October 2025,BLR,61
Total Revenue,October 2025,BLR,"20,77,372"
Listing Revenue,October 2025,BLR,"17,40,028"
Vas revenue (chr+chat+spp+agreement),October 2025,BLR,"3,31,616"
Avg Lising fee,October 2025,BLR,"1,629.239700375"
Listing Revenue/day,October 2025,BLR,"56,129.935483871"
Inspection,November 2025,BLR,"8,615"
Avg. Avg Insp TP,November 2025,BLR,"5,34,251.754134638"
workable leads,November 2025,BLR,"7,022"
Total_Listing,November 2025,BLR,"1,087"
Avg. Avg. Listing TP,November 2025,BLR,"5,06,177.895124195"
Listing went live,November 2025,BLR,"1,076"
Listing Conversion,November 2025,BLR,0.124898433
Avg. LP/TP,November 2025,BLR,1.122880182
Avg. FLP/TP (check from 8th Nov),November 2025,BLR,1.157624812
Avg. LP/CLP,November 2025,BLR,0.955914545
Delisted,November 2025,BLR,"1,812"
c2b bought,November 2025,BLR,192
Offer Initiated,November 2025,BLR,"27,391"
Unique Buyer,November 2025,BLR,"11,849"
Offer/Listings,November 2025,BLR,25.456319703
Counter,November 2025,BLR,"2,143"
Accepted,November 2025,BLR,"10,706"
% accepted/Offer,November 2025,BLR,0.390858311
Rejected,November 2025,BLR,707
Revision,November 2025,BLR,136
TD completed,November 2025,BLR,199
% TD/Accepted,November 2025,BLR,0.018587708
TD/Listing,November 2025,BLR,0.184944238
Sold,November 2025,BLR,25
Total Revenue,November 2025,BLR,"20,69,538"
Listing Revenue,November 2025,BLR,"17,34,010"
Vas revenue (chr+chat+spp+agreement),November 2025,BLR,"2,73,268"
Avg Lising fee,November 2025,BLR,"1,595.225390984"
Listing Revenue/day,November 2025,BLR,"57,800.333333333"
Inspection,December 2025,BLR,"9,098"
Avg. Avg Insp TP,December 2025,BLR,"5,37,525.475211608"
workable leads,December 2025,BLR,"7,358"
Total_Listing,December 2025,BLR,"1,241"
Avg. Avg. Listing TP,December 2025,BLR,"5,56,173.790491539"
Listing went live,December 2025,BLR,"1,244"
Listing Conversion,December 2025,BLR,0.136733348
Avg. LP/TP,December 2025,BLR,1.109271382
Avg. FLP/TP (check from 8th Nov),December 2025,BLR,1.149452518
Avg. LP/CLP,December 2025,BLR,0.966865813
Delisted,December 2025,BLR,"1,150"
c2b bought,December 2025,BLR,195
Offer Initiated,December 2025,BLR,"24,033"
Unique Buyer,December 2025,BLR,"10,791"
Offer/Listings,December 2025,BLR,19.319131833
Counter,December 2025,BLR,"1,981"
Accepted,December 2025,BLR,"8,722"
% accepted/Offer,December 2025,BLR,0.362917655
Rejected,December 2025,BLR,865
Revision,December 2025,BLR,112
TD completed,December 2025,BLR,211
% TD/Accepted,December 2025,BLR,0.024191699
TD/Listing,December 2025,BLR,0.169614148
Sold,December 2025,BLR,16
Total Revenue,December 2025,BLR,"23,23,683"
Listing Revenue,December 2025,BLR,"20,67,478"
Vas revenue (chr+chat+spp+agreement),December 2025,BLR,"2,06,720"
Avg Lising fee,December 2025,BLR,"1,665.977437550"
Listing Revenue/day,December 2025,BLR,"66,692.838709677"
Inspection,January 2026,BLR,"9,003"
Avg. Avg Insp TP,January 2026,BLR,"5,57,189.673775408"
workable leads,January 2026,BLR,"7,293"
Total_Listing,January 2026,BLR,"1,429"
Avg. Avg. Listing TP,January 2026,BLR,"5,45,514.857942617"
Listing went live,January 2026,BLR,"1,411"
Listing Conversion,January 2026,BLR,0.156725536
Avg. LP/TP,January 2026,BLR,1.113777069
Avg. FLP/TP (check from 8th Nov),January 2026,BLR,1.157973837
Avg. LP/CLP,January 2026,BLR,0.976154848
